subject,modeldate,party,very_estimate,somewhat_estimate,not_very_estimate,not_at_all_estimate,timestamp
concern-economy,07-07-20,all,55.379466,31.115491,8.8337269,3.2460752,07-07-20 20:15
concern-infected,07-06-20,all,30.795733,34.738095,19.411109,13.040988,07-07-20 6:50
concern-economy,07-06-20,all,55.418561,30.935159,8.9039877,3.2750739,07-07-20 6:50
concern-economy,07-05-20,all,55.418561,30.935159,8.9039877,3.2750739,07-07-20 6:50
concern-infected,07-05-20,all,30.795733,34.738095,19.411109,13.040988,07-07-20 6:50
concern-economy,07-04-20,all,53.548657,32.004608,9.4237886,3.4556498,07-07-20 6:50
concern-infected,07-04-20,all,30.795733,34.738095,19.411109,13.040988,07-07-20 6:50
concern-economy,07-03-20,all,53.548657,32.004608,9.4237886,3.4556498,07-07-20 6:50
concern-infected,07-03-20,all,30.795733,34.738095,19.411109,13.040988,07-07-20 6:50
concern-infected,07-02-20,all,30.795733,34.738095,19.411109,13.040988,02-07-20 17:35
concern-economy,07-02-20,all,53.548657,32.004608,9.4237886,3.4556498,02-07-20 17:35
concern-economy,07-01-20,all,53.548657,32.004608,9.4237886,3.4556498,01-07-20 20:20
concern-infected,07-01-20,all,30.795733,34.738095,19.411109,13.040988,01-07-20 20:20
concern-infected,6/30/2020,all,29.111353,36.178801,20.666205,12.992771,30-06-20 21:15
concern-economy,6/30/2020,all,53.550118,32.006131,9.1774102,3.6360119,30-06-20 21:15
concern-infected,6/29/2020,all,28.769671,36.155854,20.901055,13.167323,29-06-20 18:35
concern-economy,6/29/2020,all,51.010911,33.60732,10.208918,3.4188371,29-06-20 18:35
concern-economy,6/28/2020,all,51.010911,33.60732,10.208918,3.4188371,28-06-20 10:40
concern-infected,6/28/2020,all,28.957378,36.022227,20.950686,13.115901,28-06-20 10:40
concern-infected,6/27/2020,all,28.957378,36.022227,20.950686,13.115901,28-06-20 10:40
concern-economy,6/27/2020,all,51.010911,33.60732,10.208918,3.4188371,28-06-20 10:40
concern-infected,6/26/2020,all,28.189215,36.058777,21.503274,13.285586,26-06-20 19:05
concern-economy,6/26/2020,all,51.010911,33.60732,10.208918,3.4188371,26-06-20 19:05
concern-economy,6/25/2020,all,51.010911,33.60732,10.208918,3.4188371,25-06-20 0:25
concern-infected,6/25/2020,all,27.925207,35.711193,21.554241,13.714249,25-06-20 0:25
concern-infected,6/24/2020,all,27.893275,35.829639,21.460724,13.728219,24-06-20 10:55
concern-economy,6/24/2020,all,51.262542,33.416113,9.9726304,3.5331484,24-06-20 10:55
concern-infected,6/23/2020,all,28.114699,35.598179,21.344716,13.730656,23-06-20 19:30
concern-economy,6/23/2020,all,51.262542,33.416113,9.9726304,3.5331484,23-06-20 19:30
concern-infected,6/22/2020,all,28.264291,35.606335,21.305816,13.660725,22-06-20 19:15
concern-economy,6/22/2020,all,51.142559,33.224654,10.104347,3.9452866,22-06-20 19:15
concern-infected,6/21/2020,all,28.517001,35.297417,21.030229,14.028976,21-06-20 8:05
concern-economy,6/21/2020,all,51.142559,33.224654,10.104347,3.9452866,21-06-20 8:05
concern-infected,6/20/2020,all,28.517001,35.297417,21.030229,14.028976,21-06-20 8:05
concern-economy,6/20/2020,all,51.142559,33.224654,10.104347,3.9452866,21-06-20 8:05
concern-infected,6/19/2020,all,28.517001,35.297417,21.030229,14.028976,19-06-20 18:10
concern-economy,6/19/2020,all,51.142559,33.224654,10.104347,3.9452866,19-06-20 18:10
concern-infected,6/18/2020,all,28.432202,35.376305,21.018437,14.036285,18-06-20 15:40
concern-economy,6/18/2020,all,51.200113,33.187772,10.171671,3.8185609,18-06-20 15:40
concern-infected,6/17/2020,all,28.089974,35.75377,21.535309,13.479846,17-06-20 10:10
concern-economy,6/17/2020,all,51.200113,33.187772,10.171671,3.8185609,17-06-20 10:10
concern-infected,6/16/2020,all,28.352136,35.71804,21.246513,13.453957,16-06-20 19:45
concern-economy,6/16/2020,all,51.200113,33.187772,10.171671,3.8185609,16-06-20 19:45
concern-infected,6/15/2020,all,28.450584,35.757983,21.193771,13.575781,15-06-20 17:00
concern-economy,6/15/2020,all,51.02643,32.947063,10.245244,3.9759091,15-06-20 17:00
concern-economy,6/14/2020,all,50.803102,33.211984,10.592627,3.8652259,15-06-20 11:10
concern-infected,6/14/2020,all,28.501634,35.680538,21.208355,13.630071,15-06-20 11:10
